,0
0,7.45
1,7.58
2,7.62
3,7.52
4,7.51
5,7.4
6,7.22
7,7.31
8,7.23
9,7.27
10,7.3
11,7.32
12,7.53
13,7.59
14,7.79
15,7.76
16,7.91
17,7.92
18,7.93
19,8.04
20,8.07
21,8.13
22,8.32
23,8.29
24,8.52
25,8.54
26,8.66
27,8.69
28,8.8
29,8.76
30,8.63
31,8.65
32,8.54
33,8.5
34,8.39
35,8.7
36,8.7
37,8.7
38,8.85
39,8.89
40,8.98
41,9.03
42,9.1
43,9.47
44,9.57
45,9.31
46,9.34
47,9.31
48,9.25
49,9.29
50,9.27
51,9.26
52,9.19
53,9.06
54,9.15
55,9.31
56,9.41
57,9.58
58,9.54
59,9.59
60,9.51
61,9.57
62,9.53
63,9.27
64,9.24
65,9.08
66,9.04
67,9.28
68,9.23
69,9.43
70,9.29
71,9.47
72,9.48
73,9.54
74,9.36
75,9.52
76,9.57
77,9.55
78,9.63
79,9.58
80,9.66
81,9.62
82,9.65
83,9.68
84,9.64
85,9.64
86,9.67
87,9.65
88,9.7
89,9.76
90,9.79
91,9.74
92,9.77
93,9.79
94,9.79
95,9.74
96,9.71
97,9.92
98,9.97
99,10.05
100,10.04
101,10.12
102,10.31
103,10.28
104,10.36
105,10.4
106,10.49
107,10.25
108,10.2
109,10.01
110,9.83
111,10.16
112,10.27
113,10.35
114,10.33
115,10.11
116,10.21
117,10.38
118,10.36
119,10.34
120,10.43
121,10.59
122,10.69
123,10.78
124,10.67
125,10.74
126,10.81
127,10.83
128,10.93
129,10.78
130,10.55
131,10.19
132,10.31
133,10.32
134,10.48
135,10.63
136,10.51
137,10.6
138,10.82
139,10.83
140,10.69
141,10.71
142,10.61
143,10.43
144,10.59
145,10.64
146,10.4
147,9.93
148,10.07
149,9.95
150,10.21
151,10.27
152,10.21
153,10.38
154,10.58
155,10.55
156,10.56
157,10.49
158,10.49
159,10.37
160,10.27
161,10.2
162,10.17
163,10.17
164,10.08
165,9.95
166,10.0
167,10.12
168,10.0
169,9.85
170,9.99
171,10.17
172,10.3
173,10.55
174,10.62
175,10.55
176,10.54
177,10.43
178,10.54
179,10.42
180,10.48
181,10.52
182,10.43
183,10.43
184,10.46
185,10.52
186,10.45
187,10.43
188,10.25
189,10.03
190,10.12
191,10.23
192,10.25
193,10.09
194,10.06
195,10.0
196,10.13
197,10.08
198,10.15
199,10.47
200,10.4
201,10.42
202,10.34
203,10.17
204,9.99
205,10.0
206,9.98
207,9.81
208,9.83
209,10.0
210,9.83
211,9.79
212,9.64
213,9.49
214,9.79
215,9.71
216,9.97
217,9.82
218,9.99
219,10.09
220,10.05
221,10.1
222,10.33
223,10.52
224,10.59
225,10.75
226,10.82
227,10.65
228,10.65
229,10.77
230,10.77
231,10.98
232,11.25
233,11.34
234,11.64
235,11.65
236,11.84
237,11.99
238,12.14
239,11.81
240,11.79
241,11.75
242,11.94
243,11.7
244,11.81
245,11.36
246,11.24
247,10.63
248,11.26
249,10.94
250,11.25
251,11.34
252,11.54
253,11.45
254,11.45
255,11.02
256,10.71
257,10.73
258,11.24
259,11.32
260,11.25
261,11.54
262,11.74
263,11.74
264,11.58
265,11.47
266,11.26
267,11.43
268,11.55
269,11.56
270,11.36
271,11.43
272,11.57
273,11.72
274,11.83
275,12.05
276,12.39
277,12.44
278,12.4
279,12.09
280,12.17
281,12.13
282,12.02
283,11.95
284,11.75
285,11.48
286,11.27
287,11.21
288,11.38
289,11.36
290,11.13
291,11.7
292,12.05
293,12.1
294,12.29
295,12.7
296,12.64
297,12.71
298,12.0
299,11.9
300,11.82
301,12.21
302,11.97
303,12.06
304,12.18
305,12.19
306,12.18
307,11.93
308,11.96
309,12.13
310,12.04
311,12.03
312,12.22
313,11.9
314,11.59
315,11.57
316,11.41
317,11.7
318,11.58
319,11.36
320,11.28
321,11.1
322,11.33
323,11.04
324,10.94
325,11.32
326,11.23
327,11.5
328,11.67
329,11.73
330,11.83
331,11.77
332,11.71
333,11.76
334,11.85
335,11.79
336,11.7
337,11.44
338,11.4
339,11.47
340,11.5
341,11.92
342,11.93
343,11.99
344,12.14
345,12.23
346,12.12
347,12.19
348,12.19
349,12.38
350,12.44
351,12.58
352,12.71
353,12.69
354,12.74
355,12.72
356,12.68
357,12.63
358,12.78
359,12.91
360,12.87
361,12.65
362,12.86
363,12.65
364,13.44
365,13.38
366,13.46
367,13.63
368,13.74
369,13.73
370,13.7
371,13.83
372,13.96
373,14.11
374,14.35
375,14.84
376,14.85
377,15.13
378,15.33
379,14.98
380,15.11
381,15.11
382,15.49
383,15.44
384,15.54
385,15.72
386,15.82
387,16.11
388,16.32
389,16.39
390,16.41
391,16.04
392,15.96
393,15.97
394,16.31
395,16.41
396,16.61
397,17.1
398,17.74
399,17.62
400,17.62
401,18.09
402,18.24
403,18.13
404,18.04
405,17.94
406,18.27
407,18.49
408,18.59
409,18.35
410,18.04
411,18.62
412,18.94
413,18.79
414,19.07
415,19.15
416,18.91
417,18.84
418,18.74
419,18.21
420,17.46
421,18.35
422,18.31
423,17.68
424,17.24
425,17.2
426,16.86
427,18.36
428,18.29
429,18.15
430,17.57
431,17.52
