,var1(t-8),var2(t-8),var3(t-8),var4(t-8),var5(t-8),var6(t-8),var1(t-7),var2(t-7),var3(t-7),var4(t-7),var5(t-7),var6(t-7),var1(t-6),var2(t-6),var3(t-6),var4(t-6),var5(t-6),var6(t-6),var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t)
8,7.91,7.95,7.83,4203752.0,3326854759.4,7.91,7.88,7.92,7.84,2890972.0,2276783402.82,7.88,7.82,7.87,7.75,4448976.0,3482232883.07,7.83,7.87,7.89,7.81,3031280.0,2387738922.97,7.88,7.82,7.84,7.75,4519200.0,3527950741.2,7.81,7.69,7.69,7.52,6200544.0,4668462190.55,7.53,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45
9,7.88,7.92,7.84,2890972.0,2276783402.82,7.88,7.82,7.87,7.75,4448976.0,3482232883.07,7.83,7.87,7.89,7.81,3031280.0,2387738922.97,7.88,7.82,7.84,7.75,4519200.0,3527950741.2,7.81,7.69,7.69,7.52,6200544.0,4668462190.55,7.53,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58
10,7.82,7.87,7.75,4448976.0,3482232883.07,7.83,7.87,7.89,7.81,3031280.0,2387738922.97,7.88,7.82,7.84,7.75,4519200.0,3527950741.2,7.81,7.69,7.69,7.52,6200544.0,4668462190.55,7.53,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62
11,7.87,7.89,7.81,3031280.0,2387738922.97,7.88,7.82,7.84,7.75,4519200.0,3527950741.2,7.81,7.69,7.69,7.52,6200544.0,4668462190.55,7.53,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52
12,7.82,7.84,7.75,4519200.0,3527950741.2,7.81,7.69,7.69,7.52,6200544.0,4668462190.55,7.53,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52,7.51,7.64,7.49,3842300.0,2886552352.54,7.51
13,7.69,7.69,7.52,6200544.0,4668462190.55,7.53,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52,7.51,7.64,7.49,3842300.0,2886552352.54,7.51,7.58,7.58,7.38,4140416.0,3062667424.16,7.4
14,7.42,7.62,7.41,5349204.0,4053233510.11,7.58,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52,7.51,7.64,7.49,3842300.0,2886552352.54,7.51,7.58,7.58,7.38,4140416.0,3062667424.16,7.4,7.3,7.31,7.18,6025656.0,4350738712.5,7.22
15,7.57,7.58,7.5,3548692.0,2660211477.08,7.5,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52,7.51,7.64,7.49,3842300.0,2886552352.54,7.51,7.58,7.58,7.38,4140416.0,3062667424.16,7.4,7.3,7.31,7.18,6025656.0,4350738712.5,7.22,7.16,7.34,7.14,5968676.0,4362765429.81,7.31
16,7.45,7.52,7.42,3184300.0,2373060813.47,7.45,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52,7.51,7.64,7.49,3842300.0,2886552352.54,7.51,7.58,7.58,7.38,4140416.0,3062667424.16,7.4,7.3,7.31,7.18,6025656.0,4350738712.5,7.22,7.16,7.34,7.14,5968676.0,4362765429.81,7.31,7.39,7.4,7.23,4665052.0,3373247468.58,7.23
17,7.53,7.66,7.5,4226404.0,3204748212.71,7.58,7.59,7.66,7.57,3396960.0,2587052228.71,7.62,7.61,7.63,7.48,4267060.0,3208737754.16,7.52,7.51,7.64,7.49,3842300.0,2886552352.54,7.51,7.58,7.58,7.38,4140416.0,3062667424.16,7.4,7.3,7.31,7.18,6025656.0,4350738712.5,7.22,7.16,7.34,7.14,5968676.0,4362765429.81,7.31,7.39,7.4,7.23,4665052.0,3373247468.58,7.23,7.28,7.3,7.09,5483912.0,3987471082.95,7.27
